bbox,color
767|973|806|997,255|204|0
782|914|863|957,204|153|0
807|473|888|512,255|102|0
792|413|864|446,255|204|153
623|734|726|785,204|102|0
798|1040|845|1067,153|153|102
286|634|369|699,255|153|153
448|753|499|775,255|51|51
419|658|500|698,204|51|51
692|626|806|694,204|102|51
872|680|981|746,153|102|51
399|715|489|752,153|51|51
313|808|456|926,255|102|102
717|925|774|949,255|204|51
614|803|718|856,153|0|0
579|463|693|517,255|102|51
1076|1008|1222|1081,102|102|51
862|576|975|633,204|153|102
695|877|757|914,153|102|0
639|870|691|903,204|153|51
949|777|1006|810,255|153|51
728|759|828|801,255|153|0
158|592|244|633,204|153|153
490|369|585|422,255|51|0
840|1074|895|1099,255|255|153
885|942|974|983,204|204|153
135|1022|270|1100,204|102|102
471|837|563|889,102|0|0
98|147|205|202,255|204|204
37|1046|118|1089,102|51|51
510|649|624|721,51|0|0
497|524|596|575,255|0|0
748|292|854|343,204|51|0
562|965|667|1011,204|0|0
1184|1147|1233|1169,204|204|102
782|532|860|571,153|51|0
811|971|852|998,204|153|16
974|415|1148|492,255|153|102
653|1213|718|1244,0|153|0
831|1004|887|1034,255|255|204
841|831|972|897,102|51|0
722|819|822|868,255|204|102
